id,年,月,日,時,気温,降水量,日照時間
472,2018,1,20,17,6.5,0.0,0.3
473,2018,1,20,18,5.4,0.0,0.0
474,2018,1,20,19,5.0,0.0,0.0
475,2018,1,20,20,4.9,0.0,0.0
476,2018,1,20,21,4.8,0.0,0.0
477,2018,1,20,22,5.2,0.0,0.0
478,2018,1,20,23,5.0,0.0,0.0
479,2018,1,20,24,4.4,0.0,0.0
480,2018,1,21,1,3.7,0.0,0.0
481,2018,1,21,2,4.7,0.0,0.0
482,2018,1,21,3,5.5,0.0,0.0
483,2018,1,21,4,5.1,0.0,0.0
484,2018,1,21,5,3.5,0.0,0.0
485,2018,1,21,6,3.0,0.0,0.0
486,2018,1,21,7,3.6,0.0,0.0
487,2018,1,21,8,4.3,0.0,0.7
488,2018,1,21,9,6.5,0.0,1.0
489,2018,1,21,10,8.1,0.0,1.0
490,2018,1,21,11,9.9,0.0,1.0
491,2018,1,21,12,10.8,0.0,1.0
492,2018,1,21,13,11.7,0.0,1.0
493,2018,1,21,14,11.5,0.0,1.0
494,2018,1,21,15,10.9,0.0,1.0
495,2018,1,21,16,10.1,0.0,1.0
496,2018,1,21,17,8.4,0.0,0.5
497,2018,1,21,18,7.0,0.0,0.0
498,2018,1,21,19,6.5,0.0,0.0
499,2018,1,21,20,7.4,0.0,0.0
500,2018,1,21,21,7.6,0.0,0.0
501,2018,1,21,22,6.5,0.0,0.0
502,2018,1,21,23,5.5,0.0,0.0
503,2018,1,21,24,5.0,0.0,0.0
504,2018,1,22,1,4.6,0.0,0.0
505,2018,1,22,2,4.6,0.0,0.0
506,2018,1,22,3,4.4,0.0,0.0
507,2018,1,22,4,3.0,0.0,0.0
508,2018,1,22,5,2.9,0.0,0.0
509,2018,1,22,6,4.3,0.0,0.0
510,2018,1,22,7,4.1,0.0,0.0
511,2018,1,22,8,4.1,0.0,0.0
512,2018,1,22,9,3.1,0.0,0.0
513,2018,1,22,10,2.4,0.0,0.0
514,2018,1,22,11,1.5,0.5,0.0
515,2018,1,22,12,1.0,0.0,0.0
516,2018,1,22,13,1.1,0.0,0.0
517,2018,1,22,14,0.3,1.5,0.0
518,2018,1,22,15,0.3,1.5,0.0
519,2018,1,22,16,0.1,2.0,0.0
520,2018,1,22,17,0.0,2.5,0.0
521,2018,1,22,18,-0.2,4.0,0.0
522,2018,1,22,19,-0.5,3.0,0.0
523,2018,1,22,20,-0.3,2.0,0.0
524,2018,1,22,21,0.0,3.5,0.0
525,2018,1,22,22,0.2,2.0,0.0
526,2018,1,22,23,0.3,1.0,0.0
527,2018,1,22,24,0.5,0.5,0.0
528,2018,1,23,1,0.5,0.0,0.0
529,2018,1,23,2,0.5,0.0,0.0
530,2018,1,23,3,0.2,0.0,0.0
531,2018,1,23,4,0.1,0.0,0.0
532,2018,1,23,5,-0.4,0.0,0.0
533,2018,1,23,6,-0.2,0.0,0.0
534,2018,1,23,7,-0.5,0.0,0.0
535,2018,1,23,8,0.1,0.0,0.7
536,2018,1,23,9,2.4,0.0,1.0
537,2018,1,23,10,4.9,0.0,1.0
538,2018,1,23,11,7.1,0.0,1.0
539,2018,1,23,12,8.3,0.0,1.0
540,2018,1,23,13,9.2,0.0,1.0
541,2018,1,23,14,9.5,0.0,1.0
542,2018,1,23,15,8.7,0.0,1.0
543,2018,1,23,16,6.1,0.0,1.0
544,2018,1,23,17,6.4,0.0,0.5
545,2018,1,23,18,6.0,0.0,0.0
546,2018,1,23,19,6.1,0.0,0.0
547,2018,1,23,20,5.2,0.0,0.0
548,2018,1,23,21,3.6,0.0,0.0
549,2018,1,23,22,2.5,0.0,0.0
550,2018,1,23,23,0.9,0.0,0.0
551,2018,1,23,24,0.7,0.0,0.0
552,2018,1,24,1,1.0,0.0,0.0
553,2018,1,24,2,0.6,0.0,0.0
554,2018,1,24,3,-0.2,0.0,0.0
555,2018,1,24,4,0.2,0.0,0.0
556,2018,1,24,5,0.6,0.0,0.0
557,2018,1,24,6,0.4,0.0,0.0
558,2018,1,24,7,-0.1,0.0,0.0
559,2018,1,24,8,1.7,0.0,0.6
560,2018,1,24,9,3.9,0.0,1.0
561,2018,1,24,10,5.2,0.0,1.0
562,2018,1,24,11,6.0,0.0,1.0
563,2018,1,24,12,6.5,0.0,1.0
564,2018,1,24,13,6.4,0.0,0.8
565,2018,1,24,14,6.7,0.0,0.8
566,2018,1,24,15,5.7,0.0,0.9
567,2018,1,24,16,4.7,0.0,0.9
568,2018,1,24,17,3.2,0.0,0.0
569,2018,1,24,18,2.1,0.0,0.0
570,2018,1,24,19,1.1,0.0,0.0
571,2018,1,24,20,0.6,0.0,0.0
572,2018,1,24,21,0.0,0.0,0.0
573,2018,1,24,22,-0.7,0.0,0.0
574,2018,1,24,23,-1.3,0.0,0.0
575,2018,1,24,24,-1.5,0.0,0.0
576,2018,1,25,1,-2.0,0.0,0.0
577,2018,1,25,2,-2.3,0.0,0.0
578,2018,1,25,3,-2.2,0.0,0.0
579,2018,1,25,4,-2.8,0.0,0.0
580,2018,1,25,5,-3.0,0.0,0.0
581,2018,1,25,6,-3.6,0.0,0.0
582,2018,1,25,7,-3.5,0.0,0.0
583,2018,1,25,8,-1.9,0.0,0.8
584,2018,1,25,9,0.2,0.0,1.0
585,2018,1,25,10,1.4,0.0,1.0
586,2018,1,25,11,2.3,0.0,1.0
587,2018,1,25,12,3.5,0.0,1.0
588,2018,1,25,13,3.4,0.0,1.0
589,2018,1,25,14,3.5,0.0,1.0
590,2018,1,25,15,2.9,0.0,1.0
591,2018,1,25,16,2.4,0.0,1.0
592,2018,1,25,17,1.8,0.0,0.8
593,2018,1,25,18,1.2,0.0,0.0
594,2018,1,25,19,0.3,0.0,0.0
595,2018,1,25,20,0.0,0.0,0.0
596,2018,1,25,21,-0.1,0.0,0.0
597,2018,1,25,22,-1.1,0.0,0.0
598,2018,1,25,23,-0.8,0.0,0.0
599,2018,1,25,24,-0.6,0.0,0.0
600,2018,1,26,1,-1.8,0.0,0.0
601,2018,1,26,2,-1.6,0.0,0.0
